epoch,timestamp,slashed_validators,slashing_penalty_eth,gross_loss_eth,cl_rewards_eth,mev_proxy_eth,participation_rate,stored_score,stored_risk,recomputed_score,recomputed_risk,score_drift,has_rewards_data
440736,2026-04-13 07:55,0,0.0,0.0,0.0,0.007742875,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440737,2026-04-13 08:03,0,0.0,0.0,0.0,0.003652162,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440738,2026-04-13 08:08,0,0.0,0.0,0.0,0.0053673,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440739,2026-04-13 08:13,0,0.0,0.0,0.0,0.006854054,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440740,2026-04-13 08:22,0,0.0,0.0,0.0,0.004355737,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440741,2026-04-13 08:29,0,0.0,0.0,0.0,0.007237651,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440742,2026-04-13 08:34,0,0.0,0.0,0.0,0.005803913,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440743,2026-04-13 08:44,0,0.0,0.0,0.0,0.008951612,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440744,2026-04-13 08:49,0,0.0,0.0,0.0,0.00365666,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440745,2026-04-13 08:54,0,0.0,0.0,0.0,0.006846614,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440746,2026-04-13 09:00,0,0.0,0.0,0.0,0.004077942,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440747,2026-04-13 09:09,0,0.0,0.0,0.0,0.005604299,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440748,2026-04-13 09:15,0,0.0,0.0,0.0,0.005091781,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440749,2026-04-13 09:20,0,0.0,0.0,0.0,0.008183466,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440750,2026-04-13 09:25,0,0.0,0.0,0.0,0.003235134,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440751,2026-04-13 09:35,0,0.0,0.0,0.0,0.003844891,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440752,2026-04-13 09:40,0,0.0,0.0,0.0,0.007638623,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440753,2026-04-13 09:45,0,0.0,0.0,0.0,0.009602916,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440754,2026-04-13 09:50,0,0.0,0.0,0.0,0.019872176,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440755,2026-04-13 10:00,0,0.0,0.0,0.0,0.004186304,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440756,2026-04-13 10:05,0,0.0,0.0,0.0,0.005632943,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440757,2026-04-13 10:10,0,0.0,0.0,0.0,0.002968714,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440758,2026-04-13 10:20,0,0.0,0.0,0.0,0.004561182,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440759,2026-04-13 10:25,0,0.0,0.0,0.0,0.0059065,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440760,2026-04-13 10:30,0,0.0,0.0,0.0,0.008268449,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440761,2026-04-13 10:35,0,0.0,0.0,0.0,0.007906406,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440762,2026-04-13 10:45,0,0.0,0.0,0.0,0.006548674,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440763,2026-04-13 10:50,0,0.0,0.0,0.0,0.00350657,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
